-15.00	652.00	597.00	651.00
-10.00	632.00	569.00	647.00
-5.00	609.00	544.00	636.00
0.00	571.00	521.00	609.00
5.00	544.00	498.00	588.00
10.00	522.00	471.00	565.00
15.00	505.00	454.00	547.00
20.00	490.00	436.00	532.00
25.00	474.00	421.00	517.00
30.00	463.00	409.00	502.00
35.00	449.50	393.50	492.00
40.00	436.00	381.00	475.00
45.00	426.00	373.00	463.00
50.00	417.00	358.00	452.00
55.00	407.00	348.50	438.50
60.00	397.00	337.00	422.00
65.00	390.00	325.00	411.00
70.00	384.00	317.00	403.00
75.00	374.00	310.00	392.00
80.00	367.00	301.00	380.00
85.00	360.00	293.00	372.00
90.00	356.00	287.50	362.00
95.00	350.00	283.00	355.00
100.00	343.00	275.00	347.00
125.00	258.00	247.50	320.50
150.00	286.00	227.00	293.00
175.00	234.00	203.50	268.00
200.00	228.00	189.50	250.50
225.00	221.50	173.00	234.00
250.00	223.00	161.00	219.00
275.00	187.50	151.00	206.50
300.00	170.00	139.00	198.00
325.00	147.00	134.00	190.00
350.00	232.00	126.00	184.50
