-25.00	605.00	515.00	656.00
-20.00	605.00	494.00	629.00
-15.00	605.00	468.50	592.00
-10.00	605.00	452.00	570.50
-5.00	605.00	435.00	543.50
0.00	605.00	420.00	521.00
5.00	604.00	404.50	497.50
10.00	604.00	393.00	481.50
15.00	604.00	375.00	459.00
20.00	605.00	364.00	442.50
25.00	604.00	352.00	423.00
30.00	605.00	340.00	407.50
35.00	605.00	332.00	396.00
40.00	605.00	324.00	384.00
45.00	604.00	316.00	371.00
50.00	606.00	303.00	360.00
55.00	604.50	299.50	351.00
60.00	606.00	291.00	339.00
65.00	607.00	280.00	330.00
70.00	606.00	275.00	324.00
75.00	604.00	266.50	314.00
80.00	606.50	263.00	310.50
85.00	607.00	262.00	302.00
90.00	604.00	253.50	294.00
95.00	605.00	249.50	290.00
100.00	604.00	245.00	286.00
125.00	601.00	220.00	256.00
150.00	604.50	201.50	231.00
175.00	606.00	182.00	214.00
200.00	600.50	169.00	198.00
225.00	602.50	157.00	185.00
250.00	603.50	145.50	172.50
275.00	600.50	137.50	164.00
300.00	602.00	132.00	156.00
325.00	603.50	123.00	145.00
350.00	602.50	115.00	141.00
